# File: A_demand_base_food_prices.csv
# Title: Base Year Food Prices
# Units: 2005$/Mcal/day
# Description: Base year staple and nonstaple prices
# Source: GCAM Output
# Column types: cccccnn
# ----------
Units,region,gcam-consumer,nodeinput,input,year,value
2005$/Mcal/day,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1975,0.358485
2005$/Mcal/day,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1990,0.358485
2005$/Mcal/day,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2005,0.327379
2005$/Mcal/day,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2010,0.274034
2005$/Mcal/day,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2015,0.270179
2005$/Mcal/day,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,1975,0.0393309
2005$/Mcal/day,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,1990,0.0393309
2005$/Mcal/day,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2005,0.03756
2005$/Mcal/day,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2010,0.03618
2005$/Mcal/day,Africa_Eastern,FoodDemand,FoodDemand,FoodDemand_Staples,2015,0.0369779
2005$/Mcal/day,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1975,0.320242
2005$/Mcal/day,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1990,0.320242
2005$/Mcal/day,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2005,0.326498
2005$/Mcal/day,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2010,0.308137
2005$/Mcal/day,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2015,0.304967
2005$/Mcal/day,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,1975,0.025817
2005$/Mcal/day,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,1990,0.025817
2005$/Mcal/day,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2005,0.026863
2005$/Mcal/day,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2010,0.0264329
2005$/Mcal/day,Africa_Northern,FoodDemand,FoodDemand,FoodDemand_Staples,2015,0.0261315
2005$/Mcal/day,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1975,0.288219
2005$/Mcal/day,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,1990,0.288219
2005$/Mcal/day,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2005,0.254791
2005$/Mcal/day,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2010,0.232156
2005$/Mcal/day,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_NonStaples,2015,0.226534
2005$/Mcal/day,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,1975,0.0421755
2005$/Mcal/day,Africa_Southern,FoodDemand,FoodDemand,FoodDemand_Staples,1990,0.0421755
